"","GSPC","ADBE","AKAM","ALXN","AMGN","AMAT","BMRN","CHRW","CELG","CERN","CTAS","CSCO","CTXS","CME","CTSH","XRAY","DISH","DLTR","EBAY","EQIX","ESRX","FAST","FISV","GILD","HSIC","HOLX","ILMN","INTU","ISRG","KLAC","LRCX","LLTC","MXIM","MCHP","NFLX","NVDA","ORLY","PAYX","QCOM","REGN","ROST","SBAC","SBUX","SYMC","TROW","AMTD","PCLN","ULTA","VRSK","VRTX","XLNX"
"1",15.8145,32.299999,24.700001,23.184999,52.592167,10.412645,19.43,48.786854,28.389999,18.915001,21.971554,19.228592,41.549999,43.365292,21.83,32.272575,16.376554,16.506666,9.688552,87.740929,41.93,17.511839,22.52,23.461237,54.049999,15.07,36.689999,27.938545,328.059998,18.481192,31.961441,21.44545,13.788762,20.035252,8.892858,14.345199,37.799999,22.559469,33.773407,26.66,10.705808,33.09,9.86797,12.502556,41.393787,15.294293,195.350006,19.185328,28.120001,38.400002,19.88582
"2",17.5262,34.650002,26.299999,24.76,50.910442,10.514408,20,45.943901,29.76,20.737499,22.119144,20.820278,43.009998,45.613541,24.065001,31.849077,17.910173,18.58,9.688552,86.136185,48.005001,18.910582,24.105,23.14045,56.830002,17.25,36.32,30.533312,347.140015,19.189968,32.832851,22.518831,14.767341,21.271965,9.435715,15.100209,39.299999,23.298742,31.750374,24.459999,11.442022,35.360001,10.375181,12.207509,42.2864,15.061779,226.710007,18.127167,28.299999,40.540001,21.931887
"3",17.7793,35.369999,31.42,27.184999,53.815243,11.571004,23.370001,48.34201,30.98,21.2325,25.072527,22.275045,47.470001,47.97163,25.49,33.620564,18.672501,19.74,11.35101,88.752998,50.880001,20.453434,25.379999,22.100321,58.900002,18.540001,38.900002,32.382671,348.130005,20.375755,36.134537,23.41395,15.461054,22.136679,10.534286,16.218742,41.709999,23.905722,36.320766,26.49,12.506234,36.07,10.99108,12.487803,46.089882,16.413807,255,22.369698,28.200001,40.869999,21.651688
"4",16.1475,33.599998,38.830002,27.440001,51.539967,11.837299,23.370001,52.211105,30.995001,21.192499,24.323029,23.045216,47.029999,49.968739,25.555,35.326653,19.883253,20.24,10.008417,91.771004,50.064999,23.308985,25.565001,19.300718,60.5,17.879999,41.830002,34.14711,360.559998,22.437706,39.252254,24.897524,15.477001,22.962088,14.128572,14.643474,48.869999,24.028353,33.481583,25.530001,13.097981,35.34,11.81422,12.369784,48.244713,17.223303,262.049988,22.864164,28.02,38.77,21.897924
"5",15.3198,32.080002,39.720001,25.014999,46.56673,11.159957,19.52,50.298199,26.379999,20.9275,23.198778,19.819056,43.610001,48.053581,25.02,31.259026,18.699406,20.863333,9.010942,83.893196,50.299999,21.497627,23.775,17.45862,56.41,14.9,42.040001,33.722515,322.769989,20.362293,36.657383,23.356249,14.318772,22.16292,15.878572,12.247947,51.02,22.432751,30.946012,28.57,12.255969,33.029999,11.773293,10.451988,41.520302,15.268458,191.160004,25.296942,30.25,34.59,20.899187
"6",15.3499,26.43,40.57,25.594999,47.304173,10.382561,18.959999,48.389492,25.41,18.9725,21.387489,18.235928,42.23,42.891602,25.030001,28.876204,16.277899,20.815001,8.253367,74.055054,47.02,21.391077,22.83,16.661512,54.900002,13.93,43.529999,32.80727,315.619995,18.449812,36.851032,23.230947,13.488347,22.075382,15.521428,9.51686,47.560001,20.412701,28.578938,22.32,12.5009,34.009998,11.050252,10.23808,37.433109,13.175827,176.539993,23.398188,29.9,32.900002,21.591553
"7",16.4617,28.719999,38.360001,27.18,49.039856,10.192531,21.85,56.683338,27.575001,19.362499,23.609219,19.742039,55.02,42.47266,27.280001,28.982403,18.008827,22.16,8.800505,85.260872,45.18,20.917994,25.049999,16.194912,52.490002,14.14,44.830002,37.506153,328.369995,20.957876,40.849838,26.630802,14.133338,24.231991,14.65,8.566106,49.279999,20.666319,33.139038,24.190001,12.353113,36.18,11.300362,9.566852,40.671299,13.55474,224.399994,24.980484,29.690001,33.66,23.865248
"8",16.8272,27.700001,46.07,28.235001,45.901237,9.014231,20.290001,56.500771,25.735001,18.2125,22.743727,17.106344,57.939999,37.804935,28.805,26.819826,16.089561,22.635,9.776936,83.163765,42.599998,19.457838,25.004999,15.47071,52.799999,14.18,42.889999,40.32737,265.029999,18.692766,34.962971,24.082865,12.954922,22.33285,17.931429,8.696601,47.27,19.791639,33.497803,21.98,11.679436,35.799999,10.504948,10.053677,36.927143,12.590235,291.480011,22.448812,27.82,33.310001,20.753178
"9",16.8272,26.15,50.18,32.18,49.561462,10.152963,22.35,61.02153,28.805,20.997499,24.581783,18.740816,68.239998,39.854549,32.235001,30.913918,17.228563,24.379999,10.269361,93.321037,48.700001,22.861992,26.91,17.307949,58.580002,16.01,49.200001,41.336971,283.73999,23.511108,40.520638,25.858366,15.109994,25.328819,23.165714,10.887064,53.200001,21.859066,39.471432,27.4,12.863146,40.299999,11.679783,11.160098,42.450283,13.907817,348.339996,28.876884,28.01,34.57,22.90243
"10",17.3661,28.15,51.669998,34.150002,51.432045,10.735368,26.110001,61.510265,31.014999,21.9575,24.510401,19.562332,64.129997,44.322788,32.595001,30.353077,17.82049,25.655001,12.56734,76.80864,48.52,22.127005,27.26,19.281277,56.150002,16.030001,54.310001,45.271576,262.950012,23.838116,44.335487,27.1374,17.681387,25.916737,24.795713,11.203982,58.5,22.306599,39.497669,26.110001,13.882126,39.259998,13.055758,11.941969,46.868301,14.717313,376.809998,30.350397,29.809999,38.299999,23.039982
