"","GSPC","IDXX","SGEN","NTAP","TSCO","FFIV","SNPS","WYNN","VRSN","LULU","STLD","ANSS","SBNY","OTEX","ALGN","SEIC","TRMB","ODFL","BBBY","JKHY","AGNC","SRCL","JBLU","CPRT","MKTX","CSGP","BEAV","LAMR","ULTI","SPLS","FTNT","DXCM","UTHR","OZRK","IPGP","BRCD","WOOF","ARCC","CGNX","FLIR","PDCO","EXEL","CASY","NBIX","URBN","TTWO","COLM","ATHN","VSAT","POOL","ALNY"
"1",15.8145,26.245001,10.32,27.128382,11.875781,49.43,21.27,44.080059,19.45405,14.12,12.716255,41.860001,34.580002,18.690912,18.75,16.133505,11.445,12.222222,38.475529,19.948492,9.113455,52.91,4.94,16.879999,12.517636,40.380001,15.742521,25.020235,29.9,18.769438,8.615,9.06,59.57,6.668156,14.4,6.582261,25.389999,6.483563,7.600516,27.407785,25.455765,6.63,28.581255,2.35,31.57,9.28,18.219809,39.34,27.33,16.338322,16.9
"2",17.5262,26.4,10.2,27.947916,12.875822,55.799999,21.9,45.283924,21.160845,14.325,13.679608,43.860001,37.23,23.062557,18.1,16.042408,13.435,13.662222,41.368649,20.598019,8.645659,55.18,5.28,17.84,13.78719,39.349998,18.177954,26.314989,30.92,20.609579,8.59,9.04,57.41,6.913457,15.82,5.576239,23.82,6.889445,8.775184,24.8412,26.454031,6.47,28.329725,2.62,32.200001,9.62,20.266136,36.84,30.379999,17.779936,17.42
"3",17.7793,28.775,11.94,30.304071,13.692554,61.630001,22.370001,54.017303,22.094912,20.74,14.698194,43.189999,37.049999,22.507805,19.34,20.014292,14.36,14.84,43.506176,21.948111,9.206582,54.5,5.58,17.799999,14.516232,41.52,21.308207,30.050526,32.950001,18.799759,8.79,9.74,55.330002,7.919419,14.79,5.470846,28.030001,8.009744,8.607074,26.110596,27.764513,6.07,29.252001,2.55,38.07,9.87,23.223825,36.560001,34.610001,20.272892,17.02
"4",16.1475,33.07,12.6,32.287708,15.843736,68.43,22.66,62.857533,23.164843,18.809999,13.225851,44.959999,40.380001,19.980595,17,20.460674,16.35,15.946667,45.693417,23.279959,9.893479,58.900002,5.59,17.844999,14.553146,43.950001,20.887094,32.561302,33.450001,18.904158,8.89,10.95,56.889999,8.692636,17.51,6.227758,28.459999,8.571832,9.733582,28.343616,28.578222,5.8,36.066204,3.21,37.560001,10.85,24.563408,29.02,35.419998,21.965286,16.959999
"5",15.3198,31.620001,13.23,35.090885,16.015034,70.330002,21.42,59.946377,23.699806,20.43,12.342444,43.73,37.84,20.198704,14.92,19.212629,14.365,15.84,44.609737,22.011806,9.443939,58.619999,6.2,17.950001,13.684351,40.77,19.034204,25.78134,34.209999,17.281965,8.16,10.53,51.220001,7.974087,16.82,5.221735,26.059999,7.317945,8.886374,26.397829,26.593128,5.18,34.423008,4,36.299999,11.57,22.702841,24.76,32.130001,21.590197,15.8
"6",15.3499,30.450001,11.99,34.746311,14.410222,68.57,20.870001,54.507751,22.54496,18.610001,11.156691,40.57,38.009998,17.799515,14.87,18.634485,14,15.617778,36.864925,21.865305,9.983964,65.580002,5.49,17.905001,12.78504,38.799999,17.848076,21.450916,32.860001,15.364556,8.22,11.56,48.810001,8.014759,15.23,4.943882,24.76,6.952316,8.209798,26.95377,25.511162,3.47,32.583755,5.6,34.389999,9,20.702257,26.129999,32.560001,19.727266,15.02
"7",16.4617,29.370001,12.18,39.393429,16.428646,87.830002,21.84,62.662121,23.903603,20.74,12.112495,44.950001,38.439999,18.728846,17.35,17.554489,14.185,17.524445,37.660286,23.257067,10.399648,63,6.43,18.219999,13.183703,43.830002,20.634428,23.926695,32.259998,16.396925,9.005,11.16,48.889999,8.495693,16.110001,4.742677,20.84,7.7735,8.709484,27.574568,23.941515,3.12,35.805996,5.68,32.16,10.25,21.740253,27.77,36.139999,19.916258,15.35
"8",16.8272,27.635,11.45,37.605362,16.100086,87.43,22.860001,57.763435,24.701805,16.434999,11.562696,38.779999,36.540001,20.862511,15.99,16.199921,14.065,15.493333,35.761364,21.544834,10.293837,65.5,5.71,16.525,14.241485,41.27,18.914888,22.929382,32.919998,14.332188,10.19,12.23,46.220001,8.334626,21.66,4.809745,19.76,8.283965,9.106431,23.256775,22.676241,2.97,35.216248,5.38,30.32,8.3,20.749384,26.940001,34.950001,16.709372,13.67
"9",16.8272,30.860001,15.53,46.368767,18.785801,103.809998,24.77,62.177559,26.952055,22.360001,11.997573,42.25,38.84,22.303921,19.58,18.616179,17.52,16.946667,43.158207,23.440193,10.545022,69.480003,6.69,16.485001,15.815593,48.709999,21.273109,27.837198,38.639999,16.949789,12.5,13.22,56.009998,8.414025,24.139999,5.614563,21.09,8.879033,12.563501,23.812716,25.709311,3.92,39.082363,6.06,31.440001,10.14,26.015745,33.02,41.110001,18.176535,12.27
"10",17.3661,29.98,16.41,49.591019,18.747908,117.699997,25.58,76.788612,29.507999,22.16,12.363197,45.25,42.240002,20.971565,17.02,20.272781,17.92,18.700001,43.645367,24.966103,11.366558,71.739998,6.98,16.93,16.923988,49.66,25.800051,29.735588,41.380001,16.625702,15,13.79,60,8.659808,22.5,6.08404,20.67,9.497445,12.507289,25.795563,24.898918,4.47,38.937553,8.14,30.790001,10.67,23.260143,39.970001,41.169998,18.239931,13.14
