"","GSPC","IDXX","SGEN","NTAP","TSCO","FFIV","SNPS","WYNN","VRSN","LULU","STLD","ANSS","SBNY","OTEX","ALGN","SEIC","TRMB","ODFL","BBBY","JKHY","AGNC"
"1",15.8145,26.245001,10.32,27.128382,11.875781,49.43,21.27,44.080059,19.45405,14.12,12.716255,41.860001,34.580002,18.690912,18.75,16.133505,11.445,12.222222,38.475529,19.948492,9.113455
"2",17.5262,26.4,10.2,27.947916,12.875822,55.799999,21.9,45.283924,21.160845,14.325,13.679608,43.860001,37.23,23.062557,18.1,16.042408,13.435,13.662222,41.368649,20.598019,8.645659
"3",17.7793,28.775,11.94,30.304071,13.692554,61.630001,22.370001,54.017303,22.094912,20.74,14.698194,43.189999,37.049999,22.507805,19.34,20.014292,14.36,14.84,43.506176,21.948111,9.206582
"4",16.1475,33.07,12.6,32.287708,15.843736,68.43,22.66,62.857533,23.164843,18.809999,13.225851,44.959999,40.380001,19.980595,17,20.460674,16.35,15.946667,45.693417,23.279959,9.893479
"5",15.3198,31.620001,13.23,35.090885,16.015034,70.330002,21.42,59.946377,23.699806,20.43,12.342444,43.73,37.84,20.198704,14.92,19.212629,14.365,15.84,44.609737,22.011806,9.443939
"6",15.3499,30.450001,11.99,34.746311,14.410222,68.57,20.870001,54.507751,22.54496,18.610001,11.156691,40.57,38.009998,17.799515,14.87,18.634485,14,15.617778,36.864925,21.865305,9.983964
"7",16.4617,29.370001,12.18,39.393429,16.428646,87.830002,21.84,62.662121,23.903603,20.74,12.112495,44.950001,38.439999,18.728846,17.35,17.554489,14.185,17.524445,37.660286,23.257067,10.399648
"8",16.8272,27.635,11.45,37.605362,16.100086,87.43,22.860001,57.763435,24.701805,16.434999,11.562696,38.779999,36.540001,20.862511,15.99,16.199921,14.065,15.493333,35.761364,21.544834,10.293837
"9",16.8272,30.860001,15.53,46.368767,18.785801,103.809998,24.77,62.177559,26.952055,22.360001,11.997573,42.25,38.84,22.303921,19.58,18.616179,17.52,16.946667,43.158207,23.440193,10.545022
"10",17.3661,29.98,16.41,49.591019,18.747908,117.699997,25.58,76.788612,29.507999,22.16,12.363197,45.25,42.240002,20.971565,17.02,20.272781,17.92,18.700001,43.645367,24.966103,11.366558
"11",17.4816,32.105,15.1,47.430435,20.150923,131.880005,25.690001,78.187286,29.134375,26.809999,13.57911,48.5,43.900002,20.193962,17.49,20.666338,18.620001,19.253334,43.486298,25.217772,11.632465
"12",17.3584,34.610001,14.95,51.183517,23.007257,130.160004,26.91,80.306305,30.188847,34.209999,15.62499,52.07,50.060001,21.839256,19.540001,21.864553,19.965,21.326666,48.864918,26.887272,11.973116
"13",18.153,35.849998,16.389999,50.969322,24.345274,108.379997,27.129999,89.965652,31.094423,34.34,15.53961,52.450001,52.240002,23.418169,20.83,21.276352,23.040001,21.446667,47.721584,27.265446,11.952287
"14",18.667,38.849998,14.85,48.110275,24.738565,118.010002,27.719999,95.069862,32.609871,38.794998,15.761602,56.32,51.889999,27.936798,20.85,21.147682,24.575001,20.513334,47.870716,29.529715,12.268904
"15",18.6047,38.610001,15.57,44.841457,28.439611,102.57,27.65,98.341202,33.459999,44.525002,16.112223,54.189999,56.400002,29.548903,20.48,21.947269,25.27,23.393333,47.990021,31.362019,12.720407
"16",18.9392,40.715,16.610001,48.529354,29.394566,101.360001,27.389999,114.192627,34.17152,50.025002,15.614348,55.290001,58.209999,29.017857,24.139999,20.53191,23.42,24.946667,55.804428,31.436052,12.707312
"17",18.1287,39.360001,19.370001,51.006577,30.066374,113.580002,27.34,113.703735,35.02,45.400002,14.678689,57.369999,56.919998,30.938156,24.5,21.726694,21.844999,24.886667,53.577419,29.007944,13.257337
"18",18.9392,38.779999,20.52,49.153313,31.837223,110.25,25.709999,111.391159,33.459999,55.91,14.038464,54.669998,57.200001,30.354952,22.799999,20.802607,19.82,24.866667,58.031437,27.865828,13.333729
"19",17.582,41.470001,17.030001,44.254745,31.38023,93.480003,23.969999,119.623428,31.209999,60.540001,13.494203,50.599998,59.16,32.033436,21.99,18.279678,17.790001,24.700001,58.150742,26.881563,12.788653
"20",16.4284,39.889999,17.389999,35.035007,29.276606,81.57,25.879999,120.432961,31.15,54.73,10.997516,53.98,55.619999,27.974731,19.1,15.8122,18.57,21.413334,56.530193,27.150843,13.058901
"21",14.9407,34.485001,19.040001,31.59856,29.829985,71.050003,24.360001,89.577461,28.610001,48.689999,8.649074,49.040001,47.720001,24.712591,15.17,14.213421,16.775,19.313334,56.977585,27.009418,13.041337
"22",15.856,35.994999,22,38.145504,33.841984,103.949997,26.809999,103.746399,32.09,56.48,10.889811,54.360001,55.709999,28.93251,23.030001,14.961982,20.205,24.366667,61.481308,30.206184,13.238641
"23",14.7436,37.595001,16.629999,34.299294,34.513653,113.029999,27.969999,98.217468,33.580002,49.700001,11.49141,61.970001,58.43,27.035917,24.5,15.525712,21.540001,25.873333,60.159023,31.054518,13.806493
"24",14.0342,38.48,16.719999,33.777771,33.519764,106.120003,27.200001,90.013672,35.720001,46.66,11.551653,57.279999,59.990002,24.247927,23.73,16.174316,21.700001,27.02,57.633759,31.428558,14.199376
