"","GSPC","CALM","ROLL","SYNA","EXAS","TSRA","UFPI","POWI","SAFM","WERN","ARLP","NXST","IIVI","STMP","MNRO","HTLD","SKYW","NXTM","NTGR","AHGP","SFLY","ISCA","EGOV","MANT","SYNT","COKE","WDFC","NAVG","CSQ","FOSL","PLCE","SCHL","EXLS","ABCB","ASTE","TTMI","IRBT","PRAA","BOFI","OSIS","CENT","RMBS","GIII","CCMP","PRGS","HUBG","HMSY","ROCK","ININ","CSGS","CNSL"
"1",15.8145,13.449357,22.496319,25.309999,3.5,15.052182,31.468473,29.681423,41.880154,15.806008,12.091949,4.281686,13.37,7.669139,21.374849,11.680786,13.497226,8.11,20.639999,16.514229,15.82,24.354471,6.896612,40.759808,10.211482,45.956764,26.601192,42.549641,4.817751,32.650002,30.924311,26.879406,18.15,9.042417,23.132471,10.35,15.8,15.19333,2.965,26.469999,9.54,21.940001,8.705,24.696764,18.75333,24.110001,15.03,13.94,17.299999,17.973776,10.093184
"2",17.5262,13.206322,24.51944,26.700001,4.11,15.74474,32.673809,34.247692,44.002346,17.827705,12.919403,4.206896,14.02,7.86,21.774616,12.874934,13.617161,10.65,25.35,17.757097,19.190001,25.301748,6.362135,42.010422,10.296528,50.927017,27.076677,37.76318,5.002412,36.25,37.157795,26.429918,17.200001,9.197323,22.574839,8.54,16.190001,17.77667,3.2575,30.84,10.53,21.950001,10.485,24.872417,18.68,26.969999,15.34333,11.68,19.700001,18.659021,9.922314
"3",17.7793,13.984859,30.850161,27.610001,4.45,17.778584,35.714958,39.238178,48.181492,18.514925,13.043898,4.608889,16.92,8.762252,22.336784,13.892784,13.21032,11.45,26.1,19.94582,24.09,24.411308,6.676,41.542507,11.699672,53.681557,28.382099,39.219067,5.26222,37.740002,43.323208,25.17135,16.68,8.809533,26.915081,8.88,15.16,18.290001,3.4825,28.08,9.87,21.85,13.78,26.579762,20.953329,27.98,16.99667,12.61,18.690001,19.446127,11.171441
"4",16.1475,13.933346,30.550079,30.620001,4.44,17.778584,38.9879,36.647697,51.06395,17.953402,15.054482,6.27295,17.93,9.196027,22.492344,13.909624,13.857885,12.72,27.059999,19.921089,23.58,28.948761,5.980407,38.352165,10.987835,50.405392,30.674303,40.016808,5.344603,38.959999,44.558235,24.346416,15.92,10.858265,30.781336,10.86,20.16,22.126671,4.4075,26.040001,11.23,24.129999,14.3,26.952143,21.5,32.009998,17.83333,15.02,19.77,21.038857,11.153749
"5",15.3198,13.511755,27.104,29.92,4.17,15.236279,34.535801,32.411884,49.423992,18.049496,14.382686,6.450575,16.76,9.09192,24.651461,13.092896,13.571107,13.99,22.709999,19.546524,23.1,26.576853,5.51385,39.330536,10.172569,45.743881,28.419224,40.844463,4.784914,37.5,45.832165,23.571224,16.620001,10.994851,27.760826,11.57,21.459999,22.82,3.9975,26.209999,10.05,23.440001,14.335,25.78581,21.293329,30.6,18.08667,13.12,17.93,19.001644,10.384111
"6",15.3499,13.328093,28.062319,27.5,4.4,14.070327,28.253176,30.714029,45.720573,17.52899,14.230789,4.094713,14.815,8.892384,24.796177,12.241747,11.340237,14.84,17.84,22.10454,23.959999,24.54714,5.437505,36.216763,10.346446,44.052387,29.080948,41.013988,4.512453,34.700001,42.807804,21.741413,17.17,9.46905,25.771933,9.5,18.790001,22.26,3.53,27.77,9.51,17.52,11.445,24.303301,20.02667,30.01,18.07333,10.1,16.43,16.97369,10.221766
"7",16.4617,13.186171,29.68856,31.299999,4.17,14.885617,28.868387,33.718658,42.258984,18.484097,16.528221,5.048276,17.139999,9.490993,25.743366,13.50639,11.553678,15.79,24,24.008913,25.08,24.680548,6.294272,33.732548,12.574207,47.435375,31.877054,42.509754,4.938523,39.599998,40.697559,22.832088,18.629999,9.645493,29.13632,10.25,20.360001,23.226669,3.905,27.790001,10.41,19.65,12.9,22.96834,19.933331,32.150002,18.773331,10.79,16.18,17.464474,10.730081
"8",16.8272,12.506189,28.35272,26.370001,4.59,13.325171,24.161079,26.17234,38.896343,16.004034,17.378254,3.505747,17.195,9.924767,26.270277,12.258608,11.822799,15.77,21.120001,24.529463,22.23,21.812267,6.133098,30.10832,11.730036,45.940887,30.833771,41.642208,4.844827,47.490002,42.457718,21.189127,16.610001,7.675224,23.885277,8.24,16.57,21.23333,2.8375,29.58,9.28,17.83,12.07,21.029137,17.806669,26.549999,17.39333,7.6,14.91,16.936651,10.631753
"9",16.8272,12.211231,32.892639,28.139999,7.24,16.218134,27.265106,30.376734,39.131367,16.485325,18.750645,4.814559,18.665001,11.278146,28.983894,13.399107,12.992792,19.1,27.01,27.590872,26,23.251173,7.03228,33.69001,13.580053,48.897068,33.341152,44.504116,5.269898,53.790001,47.427002,25.159262,19.450001,9.165179,26.515446,9.79,18.57,21.553329,2.9675,36.32,10.35,20.84,15.69,22.61001,22.066669,29.26,19.646669,8.98,17.6,16.88109,11.47369
"10",17.3661,12.235987,32.253761,26.93,6.86,17.278887,28.094711,32.689148,38.096817,17.161152,18.911345,5.291341,19.67,13.828741,30.008484,13.43515,14.109651,20.16,30.809999,26.419771,30.15,21.764622,7.363111,33.392246,14.910593,49.257351,32.564812,45.840336,5.445727,58.990002,42.846703,26.624323,19.049999,9.086761,27.389069,10.48,20.879999,22.35,3.215,36,10.35,19.74,13.2,27.14185,24.91333,32.470001,20.036671,9.13,24.709999,18.010818,11.615635
