"","GSPC","ARLP","CALM","EXAS","IIVI","NXST","POWI","ROLL","SAFM","STMP","SYNA","TSRA","UFPI"
"1",15.8145,11.870811,13.449357,3.5,13.37,4.281686,29.681423,22.496319,41.880154,7.669139,25.309999,14.971581,31.468473
"2",17.5262,12.683132,13.206322,4.11,14.02,4.206896,34.247692,24.51944,44.002346,7.86,26.700001,15.660431,32.673809
"3",17.7793,12.805349,13.984859,4.45,16.92,4.608889,39.238178,30.850161,48.181492,8.762252,27.610001,17.683382,35.714958
"4",16.1475,14.779164,13.933346,4.44,17.93,6.27295,36.647697,30.550079,51.06395,9.196027,30.620001,17.683382,38.9879
"5",15.3198,14.119653,13.511755,4.17,16.76,6.450575,32.411884,27.104,49.423992,9.09192,29.92,15.154693,34.535801
"6",15.3499,13.970535,13.328093,4.4,14.815,4.094713,30.714029,28.062319,45.720573,8.892384,27.5,13.994984,28.253176
"7",16.4617,16.22595,13.186171,4.17,17.139999,5.048276,33.718658,29.68856,42.258984,9.490993,31.299999,14.805908,28.868387
"8",16.8272,17.060438,12.506189,4.59,17.195,3.505747,26.17234,28.35272,38.896343,9.924767,26.370001,13.253817,24.161079
"9",16.8272,18.40773,12.211231,7.24,18.665001,4.814559,30.376734,32.892639,39.131367,11.278146,28.139999,16.13129,27.265106
"10",17.3661,18.565493,12.235987,6.86,19.67,5.291341,32.689148,32.253761,38.096817,13.828741,26.93,17.186363,28.094711
"11",17.4816,19.838783,12.949788,5.94,20.415001,5.048276,38.546383,35.709518,40.165916,13.16,28.5,17.360756,30.647699
"12",17.3584,21.04191,13.338367,5.98,23.18,5.599846,38.422009,37.829441,35.528599,13.25,29.379999,19.31395,36.480892
"13",18.153,22.478622,12.067891,5.64,24.690001,4.590191,35.331795,33.65736,37.307297,12.72,28.459999,15.102376,34.417706
"14",18.667,25.016563,12.284909,5.43,25.594999,6.525364,38.164131,35.031918,37.676369,13.44,29.5,15.180852,31.979391
"15",18.6047,26.373625,12.55299,7.34,24.875,8.105288,36.717648,37.006638,41.840359,13.35,27.02,15.92202,34.370815
"16",18.9392,26.674835,12.492519,8.01,28.924999,7.796782,38.643097,38.003677,43.371105,13.52,28.42,17.229963,30.281954
"17",18.1287,23.879452,12.890343,7.46,28.43,6.450575,35.321598,38.720001,40.151073,12.44,28.049999,15.084936,27.602016
"18",18.9392,25.376831,13.820039,8.6,25.6,7.675249,36.866077,36.551678,43.689781,13.34,25.74,14.945422,22.625532
"19",17.582,25.167133,14.62001,8.54,25.030001,8.189425,34.045723,36.754959,42.263329,16.75,24.57,13.698518,27.82865
"20",16.4284,23.842255,14.084372,7.73,19.76,5.702682,30.881302,33.8316,35.984711,19.639999,24.43,12.2685,28.857943
"21",14.9407,21.748964,13.633254,6.63,17.5,6.179464,29.411222,32.902321,43.76458,20.440001,23.9,10.411222,22.71052
"22",15.856,25.189123,14.472367,7.95,19.01,8.50728,34.234627,39.203999,45.607296,32.560001,33.790001,12.006912,26.506624
"23",14.7436,24.010124,14.706914,8.49,19.57,7.432184,33.825966,40.897999,47.422375,27.370001,32.459999,15.128535,26.524828
"24",14.0342,25.397976,15.883988,8.12,18.360001,7.329349,31.910923,40.365601,46.187756,26.129999,30.15,14.605358,29.38003
"25",16.4752,26.664848,16.62184,9.34,23.01,7.918314,34.624699,43.831039,46.934055,31.01,38.299999,17.264839,30.236589
"26",17.3814,24.424631,16.867182,9.39,23.389999,7.712644,35.941341,44.053677,45.487427,25.85,36.75,14.648955,30.58873
"27",17.7325,20.453119,16.762033,11.16,23.65,7.768736,35.767895,44.653839,49.028416,27.879999,36.509998,15.041339,32.815788
"28",17.8405,21.977747,15.949002,10.77,20.41,7.245211,36.500214,45.379841,47.715572,29.030001,30.709999,13.637481,35.594852
