"","GSPC","ABT","AA","HON","SHW","CMI","EMR","SLB","CSX","CLX","GIS","NEM","LLY","MCD","BAX","BDX","GPC","JNJ","HPQ","TGNA","BCR","JPM","WMB","INTC","TGT","AET","AXP","BAC","CI","DUK","IFF","LNC","TAP","DIS","WFC","TXT","WBA","VFC","FDX","PCAR","AIG","FLR","ADM","ADP","GWW","MAS","AAPL","BF-B","OXY","R","MAT","SNA","SWK","WMT","T","VZ","CAG","LB","BLL","HAS","HES","LMT","LOW","PHM","DOV","PH","APD","CNP","NOC","NUE","PKI","TJX","HRB","MDT","SYY","GPS","ITW","JWN","AVY","CA","MMC","NKE","C","HD","PNC","STI","STJ","ADSK","ECL","NWL","ORCL","TMK","AEE","MRO","IPG","AMGN","PX","CSCO","COST","MU","CBS","EMN","KEY","MSFT","LUV","UNH","UNM","YUM","INTU","MON","SYMC","ETFC"
"1",9.4705,21.509371,21.086348,27.057257,42.477413,20.518778,25.705589,35.712833,8.083292,39.687992,23.290102,35.412968,26.575523,45.145939,26.553209,62.300606,24.855888,45.053825,13.498891,4.623535,81.143349,21.517504,8.252253,9.968353,25.945238,28.749046,14.685429,6.248822,17.225662,31.124413,24.396467,13.805888,33.364658,18.738924,15.767989,8.784155,23.371445,11.612,48.508633,21.600513,20.317123,35.458565,22.933779,25.671457,63.41708,5.876709,11.788043,13.078017,42.292126,28.192503,10.342443,25.544622,25.743351,38.827923,16.034449,19.013773,13.404791,4.833345,17.951698,19.315847,51.318424,61.933418,15.914242,9.642877,19.675661,32.924274,38.008453,9.311642,35.077583,31.512405,11.720492,8.817978,15.75947,28.503288,17.160358,9.458736,26.864967,9.938334,19.237419,14.840418,15.67207,10.155345,35.05571,17.671131,27.85228,11.055284,32.53973,16.559999,30.808891,6.903579,15.454762,12.231634,22.777437,13.348161,2.923887,49.327641,52.502258,12.810504,37.130798,3.72,5.129946,10.664506,6.363631,13.973366,6.754722,25.56234,12.258579,24.305347,21.371429,66.529526,11.30762,11.4
"2",9.0077,18.366768,17.227938,22.342461,41.192692,17.939379,21.242052,33.473801,6.945832,38.461342,20.663813,37.059875,21.490631,41.034161,23.049002,53.058823,21.843994,39.372032,11.276916,2.596231,76.108047,19.273813,6.590137,9.946133,23.669792,22.136766,10.586149,3.751193,15.638043,28.097878,22.427359,7.838241,29.35178,15.195926,10.28354,5.496177,20.430033,10.757994,41.147587,20.645884,6.666556,30.308413,22.440702,24.131029,57.835072,3.870211,11.680796,12.37818,40.214344,19.218691,8.629636,20.191807,22.037495,40.574852,15.480862,18.160797,11.821301,4.775123,18.912098,18.323238,50.469421,48.031391,13.797569,8.721342,17.518785,28.931566,34.948128,7.284443,27.502348,25.996382,11.961961,10.161747,14.520304,25.184002,16.552162,9.047852,22.867302,10.673953,15.998101,14.012877,14.537,9.320475,14.812272,17.14584,23.415785,10.947406,29.667789,12.69,28.831173,4.911647,14.270172,8.399053,16.29015,11.510034,3.345348,44.003674,47.85582,12.468205,35.040184,3.22,3.829523,8.441193,6.175951,13.287553,5.663752,17.73032,8.813019,22.318117,21.503529,66.713211,10.2012,8
"3",8.5448,18.506439,20.297441,23.200186,46.589428,21.949865,22.695246,35.725319,7.275112,40.740532,19.640072,39.94949,24.438461,42.856155,23.306973,57.944435,23.521292,41.419376,12.490978,1.795219,75.595978,22.42004,6.704081,11.733938,28.753239,22.563364,11.96428,6.494536,17.505983,29.870943,26.190712,6.10452,28.560289,16.455456,12.102281,5.608433,22.228148,11.98504,42.497219,21.214119,15.872753,31.622072,23.38345,25.083881,61.349232,5.245451,13.748576,11.258981,43.422623,23.800573,8.40369,21.484289,24.271252,43.173721,16.412189,19.223839,13.224493,5.402285,20.371931,20.06831,50.104881,52.536949,15.89682,10.383906,18.530296,29.460432,42.832447,7.362088,32.125336,29.741652,11.859801,11.69947,13.94044,25.081869,17.55299,10.892641,25.621267,13.273104,18.105247,14.55851,16.417973,10.585601,24.983366,19.578938,25.085896,10.683504,32.503944,16.809999,31.654676,5.546249,16.593437,10.69453,16.183094,13.003816,3.617542,44.534271,57.157669,14.350845,38.333996,4.06,3.495902,11.244041,6.933628,15.114079,6.086851,18.912897,10.821486,23.337208,25.475878,72.687401,11.019951,12.4
"4",10.6644,16.385641,25.081442,25.989868,50.775932,29.323986,27.031008,43.086742,8.327675,44.724812,20.12936,35.915272,24.08004,41.850918,22.069273,52.118969,26.750938,41.230392,14.018259,3.190594,68.064713,27.884811,8.306458,12.319464,34.497196,20.411823,22.434135,8.503843,19.615856,28.807104,26.826994,10.272425,31.867886,19.84441,17.006084,10.484056,26.911816,12.438335,53.453457,29.185884,21.9044,34.660721,20.72356,25.112421,73.325356,6.722664,16.457222,13.48294,43.922001,23.279333,10.903661,29.033745,31.697651,41.764984,16.947037,19.58572,14.023992,7.091275,17.705742,21.496243,50.650303,59.767155,18.808382,10.934928,21.621016,39.318146,50.180595,7.510318,35.592567,31.705208,13.600042,12.762643,11.602983,27.410007,18.152096,13.103958,27.240763,17.932556,23.292068,14.260891,17.267395,11.845308,30.118288,21.872566,34.10907,13.140528,29.989876,19.940001,35.136417,9.084373,17.805815,12.022626,16.064459,14.690507,5.496556,43.589989,63.375446,16.532995,40.220901,4.88,6.409154,16.647894,5.418273,16.669092,6.711883,21.253288,14.2196,28.503698,21.824333,74.490662,12.723839,14.3
"5",12.1417,17.642462,25.571972,27.878101,47.63921,28.120304,25.722033,50.333828,9.00476,41.844231,20.323942,43.617775,25.636887,46.327374,23.29332,58.323608,26.372833,43.819538,13.38319,3.892361,67.931679,31.180292,9.885278,12.376628,32.989201,24.835468,22.105007,10.732174,22.064108,30.007912,27.428881,17.318724,36.847065,21.94665,21.718588,11.236408,25.601809,11.924181,52.947197,24.732655,26.824951,42.998695,23.295418,27.117136,69.294983,7.860812,17.762501,12.714556,52.364639,23.905642,11.377417,26.936518,29.755619,41.440327,16.398012,18.888536,14.729153,7.768114,18.730255,20.488354,61.558739,64.095375,16.63011,8.360328,22.25968,36.841248,49.327751,7.272655,35.372135,34.214199,15.18687,13.523612,11.189138,29.422928,18.642271,15.051845,26.817204,15.720588,22.335747,14.459399,15.490712,12.879261,36.734436,19.246529,39.13522,12.076234,34.910648,21.459999,34.042675,10.049969,18.035982,16.461946,16.231943,15.902105,4.600951,44.911983,62.177757,15.831284,40.309368,5.06,6.718687,17.386309,4.413876,17.296583,6.481102,24.036457,14.889679,29.597694,25.683458,72.086319,11.528905,14.4
"6",12.4678,18.417694,28.650593,26.398443,48.496353,30.530863,25.970518,47.765053,9.818471,44.549267,22.245941,36.552898,25.688797,45.52256,24.231205,61.753593,26.734058,45.122368,15.090847,2.938373,70.744347,28.822756,9.256046,13.0301,33.131905,23.231085,20.829069,12.581097,23.974937,30.941021,28.353132,15.728508,35.456612,21.140186,20.662468,9.454406,25.266638,11.731747,53.241291,26.870352,18.412394,47.060631,22.660549,25.503384,71.976059,7.268976,18.628326,12.540605,51.598637,23.685078,11.698112,24.852505,28.460434,40.357243,16.431086,19.837482,15.101541,7.517714,21.252722,19.54497,49.771053,61.811459,16.980032,8.388828,23.427885,37.451492,49.524937,7.962551,33.931103,34.890388,16.241642,14.417243,13.328588,29.885473,17.677563,13.829144,31.27474,15.880268,21.12641,14.442826,16.481396,11.739993,29.3283,19.818674,33.34441,15.083831,36.771595,18.98,35.667427,9.089502,19.720814,15.183026,17.651655,15.029189,4.434123,47.60994,60.684673,15.959645,38.033035,5.06,6.335989,16.072573,4.625741,19.681177,6.476185,22.572582,13.801888,28.495153,26.598703,65.460724,11.492023,12.9
"7",13.1671,17.771597,32.616741,29.172802,52.105385,37.294304,29.160723,47.226582,11.375024,49.096584,23.578617,36.982197,25.874197,43.5984,25.791409,56.419113,28.21574,48.371498,16.906435,5.761516,70.070045,32.706974,9.896441,15.155857,36.615494,25.011671,25.391029,14.096547,28.264351,32.828442,30.554136,19.378017,37.868965,22.762175,20.832809,13.153955,26.684662,13.711413,64.938675,28.709766,10.428399,48.446114,25.496292,26.805902,79.034782,10.666227,21.369671,12.82363,55.93446,29.801462,12.813259,30.810535,33.76733,41.556965,17.647934,21.02887,15.70309,8.126918,22.758673,21.531029,51.113712,57.297268,19.738974,10.801923,24.079254,38.602238,57.200191,8.659634,33.114021,34.921799,16.523773,16.603201,12.910861,30.527098,18.684114,13.838115,33.963329,21.109819,21.990221,17.517002,16.895287,12.841893,31.30327,21.75609,31.584082,17.880527,33.738609,21.809999,37.972679,11.237454,20.42433,16.071791,18.034616,16.08666,4.57461,56.03656,66.755707,18.834949,41.123531,6.39,7.498807,21.059734,5.10244,19.474182,7.553946,25.355751,16.408606,30.466858,28.023466,73.966927,11.012575,15
"8",14.344,17.866398,33.49934,31.175179,54.635342,39.451019,29.827126,49.792274,12.111711,47.551502,23.90682,35.944729,25.180164,44.925747,26.043055,60.290081,29.506243,48.403141,17.527248,7.111357,76.746559,36.777363,9.8104,16.115063,39.615486,26.430574,30.311493,16.765265,29.289433,33.362926,30.866091,23.081696,39.893265,23.595821,23.483265,15.033092,29.247751,14.743637,65.771469,30.042896,35.975594,48.537872,24.531284,27.597481,77.288849,11.087363,22.000076,13.048298,57.314392,32.445297,13.11209,32.527859,34.423332,42.614258,17.526827,20.353477,16.423048,9.462317,22.851843,23.066637,46.844978,57.902794,18.895279,12.141475,24.670322,42.640961,57.529896,9.048474,36.577709,34.976768,17.104872,16.53129,13.367267,33.009258,20.044531,16.661701,35.027039,22.512379,25.583332,18.503633,19.47674,12.558482,49.374241,22.888346,36.693016,21.438444,34.481201,23.43,38.686211,12.198077,20.193598,17.53249,19.126762,15.518375,5.522898,53.76128,65.423668,18.484095,42.509495,7.37,9.476516,22.11993,5.888231,20.524563,7.8715,25.301533,19.695572,29.427238,26.202412,73.861252,11.152721,17.6
"9",14.7486,19.541256,36.473969,31.505928,54.599037,39.007065,32.423958,52.804615,11.929317,47.334225,25.767975,39.460052,24.856571,45.588768,26.204567,60.692928,30.663017,48.763523,18.465132,10.348656,74.870277,37.082005,10.663733,15.520265,39.345764,25.809225,30.544952,16.13648,27.955832,33.901386,33.079792,23.694403,40.987843,24.882534,24.046453,18.59671,32.346909,15.484877,72.115005,31.322025,35.007355,46.770477,24.863132,28.52404,78.958855,9.892869,24.241804,14.157416,61.750065,33.350353,13.454651,30.296579,36.204029,41.123138,18.172731,19.848577,17.342995,10.775118,23.200798,22.546644,49.593666,60.296745,18.403122,10.440908,27.644464,45.427608,59.827831,9.070367,38.780914,37.194294,18.032753,17.083099,14.347682,31.716467,19.541256,18.145567,36.036568,24.519547,29.814102,18.254593,20.461332,14.73844,47.794266,22.528931,41.862263,20.686216,34.901703,23.799999,42.42429,13.749125,19.233757,17.926975,18.188656,16.036154,6.602892,54.165974,70.124466,20.144239,47.012268,8.2,11.085334,22.898394,5.746772,21.415487,9.243597,22.626801,18.742701,29.006235,26.891203,68.155235,12.148499,17.5
"10",15.6764,20.136864,34.527946,30.437355,51.767441,37.483692,30.53903,55.108177,12.020514,48.07058,26.576824,38.958061,25.594065,46.818954,24.848604,59.483421,28.189674,47.289967,18.562914,8.123405,71.660553,35.389999,11.248541,15.155456,40.820808,24.139927,31.39192,13.90484,27.707026,34.073692,33.21933,21.80048,41.232021,24.800983,23.483265,17.420944,32.657688,15.187707,69.689438,31.072845,26.682096,40.856331,25.628939,28.88694,82.820213,9.050747,24.653791,14.330639,59.765236,34.622547,13.797214,31.8393,38.358124,41.617386,17.535975,19.713058,16.956469,11.161983,23.262102,22.321259,50.781094,53.122608,17.271566,8.559835,26.874182,46.409065,59.480801,9.194418,37.566902,31.529306,17.502909,17.175066,14.316458,30.943703,21.005043,18.164207,38.745007,25.5151,29.516047,17.366352,19.571966,14.164392,40.38813,21.218126,42.256203,17.530537,30.490902,24.93,40.34116,12.715094,19.520641,16.758821,17.512337,16.071346,5.285826,48.221478,68.193016,19.519545,47.549019,6.79,10.827749,22.457874,4.7654,23.089094,8.088147,23.4491,17.508347,28.481573,27.429028,59.363934,12.967252,14.6
