"","SP500","Apple","Microsoft","Exxon","Amazon","Johnson","JP"
"1",9.4705,11.788043,13.973366,61.836185,58.82,45.053825,21.517504
"2",9.0077,11.680796,13.287553,55.175655,64.790001,39.372032,19.273813
"3",8.5448,13.748576,15.114079,55.338173,73.440002,41.419376,22.42004
"4",10.6644,16.457222,16.669092,54.176151,80.519997,41.230392,27.884811
"5",12.1417,17.762501,17.296583,56.69022,77.989998,43.819538,31.180292
"6",12.4678,18.628326,19.681177,57.147999,83.660004,45.122368,28.822756
"7",13.1671,21.369671,19.474182,57.540371,85.760002,48.371498,32.706974
"8",14.344,22.000076,20.524563,56.872009,81.190002,48.403141,36.777363
"9",14.7486,24.241804,21.415487,56.427891,93.360001,48.763523,37.082005
"10",15.6764,24.653791,23.089094,58.944565,118.809998,47.289967,35.389999
"11",15.844,26.146097,24.59617,62.100235,135.910004,50.723293,36.000027
"12",17.1808,27.561237,25.491034,56.408886,134.520004,51.99057,35.305271
"13",16.0007,25.119402,23.567497,53.298496,125.410004,50.739437,33.031891
"14",17.7326,26.762114,24.089418,54.1208,118.400002,51.241535,35.602169
"15",17.9886,30.735497,24.610361,55.769405,135.770004,53.030922,37.960377
"16",16.3376,34.147789,25.66065,56.427177,137.100006,52.298904,36.160023
"17",15.5001,33.597168,21.775772,50.682541,125.459999,47.851875,33.612347
"18",15.5306,32.897442,19.420952,47.840767,109.260002,48.475674,31.090145
"19",16.6555,33.645557,21.784212,50.028683,117.889999,47.679512,34.253582
"20",17.0253,31.794889,19.914873,49.90543,124.830002,47.242634,30.920067
"21",17.0253,37.111473,20.780369,52.168102,157.059998,51.33556,32.365726
"22",17.5706,39.364975,22.630152,56.136219,165.229996,52.810341,32.04134
"23",17.6875,40.695103,21.565428,59.097942,175.399994,51.434715,31.845499
"24",17.5628,42.187412,23.827835,62.122513,180,51.68541,36.119946
"25",18.3668,44.379436,23.674162,68.545464,169.639999,49.947243,38.309635
"26",18.8868,46.196102,22.826488,73.048958,173.289993,51.807121,39.801445
"27",18.8238,45.581394,21.804535,71.853256,180.130005,49.96048,39.298492
"28",19.1622,45.79327,22.259691,75.141441,195.809998,55.41608,39.10878
"29",18.3422,45.492455,21.61898,71.693893,196.690002,57.23204,37.060349
"30",19.1622,43.902058,22.474749,69.89875,204.490005,56.577133,35.08905
"31",17.789,51.070621,23.684927,68.533073,222.520004,55.105721,34.882088
"32",16.6218,50.331661,23.138523,63.996971,215.229996,56.463352,32.389896
"33",15.1166,49.872589,21.651047,62.795189,216.229996,54.652744,25.974005
"34",16.0427,52.94091,23.164619,67.515854,213.509995,55.253418,30.239176
"35",14.9172,49.987682,22.418812,69.962036,192.289993,56.051991,26.942099
"36",14.1994,52.969685,22.75185,73.719322,173.100006,56.79681,28.925566
"37",16.6692,59.702717,25.880671,72.832184,194.440002,57.082615,32.682407
"38",17.5861,70.945374,28.000687,75.644447,179.690002,56.861645,34.382248
"39",17.9413,78.414749,28.459425,75.845589,202.509995,57.630516,40.287861
"40",18.0506,76.378357,28.247702,75.504524,231.899994,56.879116,37.905762
"41",17.2066,75.560928,25.920074,69.235817,212.910004,55.077301,29.2363
"42",16.2957,76.380974,27.163244,75.34668,228.350006,59.603115,31.511702
"43",17.8698,79.880898,26.168709,76.473747,233.300003,61.067612,32.014557
"44",19.012,87.37986,27.548779,77.369545,248.270004,60.028988,33.028347
"45",18.8089,87.624176,26.601288,81.047478,254.320007,61.34655,35.998589
"46",18.9237,78.195808,25.510778,80.799324,232.889999,63.046906,37.339489
"47",18.213,77.228172,23.990091,78.603058,252.050003,62.6255,36.801975
"48",18.2472,70.220261,24.071199,77.185104,250.869995,62.957794,39.391014
"49",20.184,60.102276,24.738092,80.235054,265.5,66.388588,42.439823
